Site,County,Location,Site type,Element,Age,Sex,Lab code,14C BP,±,  95% cal BC,cal BC,median,d13C,d15N,C:N,,,,,
Poulnabrone,Clare,coastal,portal tomb,mandible,adult,M,OxA-26052,4983,30,3928,3666,3754,-20.9,9.3,3.2,,,,,
Poulnabrone,Clare,coastal,portal tomb,mandible,adult,M,OxA-25948,4937,31,3779,3652,3706,-21.1,9.3,3.3,,,,,
Poulnabrone,Clare,coastal,portal tomb,mandible,adult,M,OxA-25949,4845,29,3696,3535,3643,-21.0,9.3,3.2,,,,,
Poulnabrone,Clare,coastal,portal tomb,mandible,yng adult,M,OxA-25943,4928,30,3770,3651,3696,-21.2,7.5,3.2,,,,,
Poulnabrone,Clare,coastal,portal tomb,maxilla,adolescent,I,OxA-25950,5004,31,3942,3702,3782,-21.3,8.7,3.2,,,,,
Poulnabrone,Clare,coastal,portal tomb,"mandible, L",adult,I,OxA-25940,4914,30,3765,3643,3685,-20.9,7.7,3.2,,,,,
Poulnabrone,Clare,coastal,portal tomb,mandible,adult,I,OxA-22650/1,4937,22,3766,3656,3702,-21.1,7.9,3.2,,,,,
Poulnabrone,Clare,coastal,portal tomb,mandible,adult,I,OxA-25945,4579,29,3497,3118,3353,-21.1,9.6,3.3,,,,,
Poulnabrone,Clare,coastal,portal tomb,mandible,adult,I,OxA-25947,4949,30,3786,3656,3724,-21.0,8.5,3.2,,,,,
Poulnabrone,Clare,coastal,portal tomb,"petrous, R",adult,I,UBA-39200,3654,31,2136,1942,2025,-20.8,9.9,3.2,,,,,
Poulnabrone,Clare,coastal,portal tomb,"petrous, R",N/A,I,UBA-35066,3561,49,2030,1756,1908,-21.5,11.1,3.2,,,,,
Poulnabrone,Clare,coastal,portal tomb,"petrous, R",adult,I,UBA-39201,3334,29,1690,1529,1622,-20.8,10.2,3.2,,,,,
Poulnabrone,Clare,coastal,portal tomb,mandible,infant,I,UBA-15771,4508,32,3353,3097,3213,-21.8,10.2,N/A,,,,,
Poulnabrone,Clare,coastal,portal tomb,"petrous, R",N/A,M,UBA-38312,4999,48,3944,3665,3784,-21.2,9.5,3.2,,,,,
Poulnabrone,Clare,coastal,portal tomb,"petrous, R",N/A,M,UBA-38308,4992,40,3942,3662,3770,-21.0,8.6,3.2,,,,,
Poulnabrone,Clare,coastal,portal tomb,"petrous, R",adult,I,UBA-39199,4854,33,3705,3536,3649,-21.1,8.4,3.2,,,,,
Poulnabrone,Clare,coastal,portal tomb,"petrous, R",N/A,M,UBA-38313,4843,45,3710,3522,3640,-21.4,9.5,3.2,,,,,
Poulnabrone,Clare,coastal,portal tomb,"petrous, R",N/A,M,UBA-38317,4732,43,3636,3376,3528,-21.1,9.2,3.2,,,,,
Poulnabrone,Clare,coastal,portal tomb,"petrous, R",N/A,M,UBA-38311,4731,42,3636,3376,3527,-21.3,8.5,3.2,,,,,
Poulnabrone,Clare,coastal,portal tomb,"petrous, R",adult,F,UBA-39202,4719,38,3634,3375,3510,-22.0,10.9,3.2,,,,,
Poulnabrone,Clare,coastal,portal tomb,"petrous, R",adolescent,M,UBA-39198,4629,41,3621,3341,3452,-22.3,11.5,3.2,,,,,
Poulnabrone,Clare,coastal,portal tomb,"petrous, R",child,M,UBA-35065,4697,32,3630,3371,3451,-21.3,12.8,3.2,,,,,
Poulnabrone,Clare,coastal,portal tomb,"petrous, R",adult,I,UBA-39203,3727,37,2277,2023,2125,-21.5,10.2,3.2,,,,,
Poulnabrone,Clare,coastal,portal tomb,"petrous, R",adult,I,UBA-39200,3654,31,2136,1942,2025,-20.8,9.9,3.2,,,,,
